ResponseId,treat1summ,treat2summ,Mention_Anti_Asian,Mention_Racism_Against_POC,Not_Surprised,Anger,Worry/Fear/Anxiety,Sadness,Inattentive,Unsure,Notes
R_qOsBxnsCTO9TUyd,Asians are targeted for hate crimes. One of these is unfair treatment. Another is violence at the minority groups.,,1,1,0,0,0,0,0,0,
R_C3RB5lVaK8GJn5T,,,,,,,,,,,
R_1eR8ionA3cAJncS,,,,,,,,,,,
R_6xODZCa32o3UFuF,Asian Americans are receiving hate and racism.  Increased amount of abuse due to Covid as people believe Asians bring it to the country.  This is not acceptable and is awful Americans are doing this.  ,,1,0,0,1,0,1,0,0,
R_1ILwSHfJg3sLsNm,,Asian or being blamed for pandemic and spread of hate tourward Asian Americans ,1,0,0,0,0,0,0,0,
R_1QhXGTGgHe3vA1W,,Anti Asian bullying hate rate increase ,1,0,0,0,0,0,0,0,
R_2xz0a1Yr5hXXeEy,,,,,,,,,,,
R_3NPryANw4jK96xP,,,,,,,,,,,
R_9vng8C5ZLN0Uvvz,,"It's very disturbing report about the sharp increased of Anti-Asian hate crimes and discrimination. The COVID-19 pandemic and the negative rhetorics, racist comments from political leaders spurred the increases of Anti-Asian hate crimes and racial discriminations. We need to stand together to fight racial discrimination. ",1,0,0,0,1,0,0,0,
R_ptSXUhisXOM7GHD,,,,,,,,,,,
R_W8NBJeaMGc65BUB,,,,,,,,,,,
R_x4uE5jer1JdVSDf,,"Racism is on the rise, especially since the pandemic. We have to be vigilant. We have to speak up.",0,0,0,0,0,0,0,0,
R_33l60bsZuH6esst,Racism against Asian cultural. ,,1,0,0,0,0,0,0,0,
R_Tt6mgOOFF324801,,,,,,,,,,,
R_3kjlUg1FBxqqaf6,,,,,,,,,,,
R_1GNR8QgnRoVOg6u,,"Since the covid pandemic hit, the rise in Asian hate has increased. From a person going to a store and being spat at to Uber/Lyft drivers not picking them up for service. Other races have also seen an increase in racism but not as much as Asians have.",1,1,0,0,0,0,0,0,
R_1gA3ydgq0VHe66f,,A asian woman went into the store and got spat on. The person told her to go back to where she came from. The rest of the article gives stats on racism and different minority groups.,1,1,0,0,0,0,0,0,
R_vrjbPfxSnFV2HMl,,,,,,,,,,,
R_21BUD6PYY4kiH7c,,,,,,,,,,,
R_3htFravPC1yfDBl,,,,,,,,,,,
R_4MJXn9bz4BZ1re9,,,,,,,,,,,
R_1EZsjxkBKvi6oGn,,Highlighted Current situation of asian Americans,0,0,0,0,0,0,1,0,
R_1LYA490LrJCOLeY,,,,,,,,,,,
R_22sM5sLc0CcKeKq,,,,,,,,,,,
R_1nYLRFVX05eU2Vn,"Since the outbreak of COVID the discrimination of asians have seen a significant rise however, it is a prejudice that has been around for decades.  Unite together",,1,0,1,0,0,0,1,0,
R_2EymnqT3QTYZfo6,,,,,,,,,,,
R_3ef7PO20jPp4mg6,There’s been a rise in hate crimes towards Asians. This can happen in your local neighborhood like grocery stores. We have to stand together. ,,1,0,0,0,0,0,0,0,
R_3mldCcnTuGuXaBn,Crime against Asians has gone up. It has increase 17%. There’s been a call for change.,,1,0,0,0,0,0,0,0,
R_1FqUqw9cfkX7m32,,,,,,,,,,,
R_UzoM3UDCQIjdwMp,,Asian hate is racial discrimination.,1,0,0,0,0,0,0,0,
R_1gNnClQKy9ZEVjb,,,,,,,,,,,
R_28zTRFW4hy7djMG,,,,,,,,,,,
R_3noctkZd1yKIemv,,,,,,,,,,,
R_3JEM6CeKnpMrG9t,,It is about Asian hate problem.,1,0,0,0,0,0,0,0,
R_12MC23ipZjGK49e,,This article cites an example of a fascist hate crime when an Asian woman was accosted and was blamed for Covid. The heckler demanded she go back where she came from. Obviously this is not a good situation but during the height of the pandemic was all too common. ,1,0,1,0,0,1,0,0,
R_2rNtuTDZYFoMXmb,The article mentioned about Asian-American hate. It was most especially experienced when the pandemic started. It was also cited that it will be a long issue among this specific group.,,1,0,0,0,0,0,0,0,
R_9L8z0DcZXKDYeOt,,,,,,,,,,,
R_25SYl0pLbc17eQX,Asian American getting discrimination from other because coronavirus ,,1,0,0,0,0,0,0,0,
R_1M4zLauDHRAZBbq,,The information of rising hate crimes. They use lily wongs story of being racially oppressed. They supported her ,0,0,0,0,0,0,0,0,
R_12LQGV1wCNmIQ9Y,,,,,,,,,,,
R_2EzyzlKl7cRyQZ4,,Racism is virus it's makes the environment uncomfortable ,0,0,0,0,0,0,1,0,
R_3PTcYVyeSQjwWiT,,,,,,,,,,,
R_CZwTBRkLSlAcYKJ,,,,,,,,,,,
R_2QMwgrk8XD90dHO,,I think Asian hate crimes come from society of misunderstanding ,1,0,0,0,0,0,0,0,
R_28MQMdl3P5941kO,,The article is about anti asian / racism. An example cited was an Asian American Lily received remarks that she took the covid with here from her origin. Anti Asian American / racism is very evident in the US.,1,0,0,0,0,0,0,0,
R_1rjeg252uDM57x8,I'm not sure. I briefly looked over the article. I'd have to go back to read it,,0,0,0,0,0,0,1,0,
R_3MmbOtSclQqP7p3,Covid 19 that people of Asian are attack by other. Asian are blame that they bring Covid 19 to US. Hate crimes increased toward Asian.,,1,0,0,0,0,0,0,0,
R_SZFcvEZOzdnrz57,It’s about Asian racism ,,1,0,0,0,0,0,0,0,
R_1PRXsI7iLSDNSQG,,,,,,,,,,,
R_tPzfKbiaXiPhkVX,,,,,,,,,,,
R_1ptCBmbUebxP0sp,There is an increase in abuse and discrimination against asians. The story gives an account of a lady (lilly) that was spat at and yelled at. We must do more to combat violence against asians.,,1,0,0,0,0,0,0,0,
R_Dr8DcvpEE8mlySJ,There is a lot of anti Asian hate. A woman was spit on for being Asian. Uber and Lyft drivers refuse to pick up Asians. ,,1,0,0,0,0,0,0,0,
R_1BXXpfdiP7IMuzK,Asian hate crimes or acts have increased since covid started. ,,1,0,0,0,0,0,0,0,
R_2Xiflt9cYqhMjQJ,,,,,,,,,,,
R_3m2BsuyoW4qhOoA,,,,,,,,,,,
R_3HChJZzrRw10BmA,,,,,,,,,,,
R_2AEXh1vAnvg91rq,,Racism is an ongoing problem in this country but not all citizens are treated the same way except for a few individuals who I believe should be educated. ,0,0,0,0,0,0,0,0,
R_2ffgcqhBuaJ7all,,,,,,,,,,,
R_1mEDYlwvvrynxzP,,,,,,,,,,,
R_bNsBhjaMhQuo8PD,,,,,,,,,,,
R_QlSCdoCRlOn4bap,Everything ,,,,,,,,,,
R_6JxZ3j082MEWYKZ,,"Some people perceived Chinese to be a “threat” as they were “from the country who started spreading that disease around.
Hate-motivated violence happen to Asian everyday.
Racially-motivated acts of violence to Asian happen pre-pandemic as well.",1,0,0,0,0,0,0,0,
R_2w1sum4Gn2YQYca,"Hate crimes against Asian Americans are on the rise and since Covid struck, it has only come to the surface more than previous years, but we need to stand united to be able to fight against it. Often Asian Americans were denied to be picked up and driven by Uber drivers and at grocery stores and supermarkets, they have been spat on and abused saying that they have brought the coronavirus into the country.",,1,0,0,0,0,0,0,0,
R_1jlVsQQp37TekEy,,,,,,,,,,,
R_1LAp3yiHvLsuMOi,,,,,,,,,,,
R_3iU9p4dAry8QzNP,someone in nyc experienced asian hate. a worker blamed them for bringing covid and told them to go back to where they came from. others have also experiences something similar.,,1,0,0,0,0,0,0,0,
R_21pjNMAYfmatqwK,,,,,,,,,,,
R_1OrbgAZO1dhaFm9,,,,,,,,,,,
R_10wOQJnQqDCggab,,,,,,,,,,,
R_3EL15Ko9USvwNKI,,about Asian hate crimes amid the Covid19 pandemic starting in march 2020,1,0,0,0,0,0,0,0,
R_1eIzcfHpAl0c05m,Asian Americans are facing more hate crimes and racist notions. Many people are blaming Asian Americans for COVID-19. We need to stand up for each other and stop racism.,,1,0,0,0,0,0,0,0,
R_25HqCz3nmLTV0TK,,Nothing wrong baby mommy mommy baby baby mommy mommy love mama baby mommy mama mommy ,0,0,0,0,0,0,1,0,
R_2abCUJgovG8QLKN,,,,,,,,,,,
R_qVgCTIb3gKrOJVv,,,,,,,,,,,
R_1QJTFpj4cn8j4ud,There's a rise in Asian hate going on. This includes people spitting on and calling Asians names. It happens in th community wuch as in grocery stores.,,1,0,0,0,0,0,0,0,
R_3L53uFqDT1JZJDX,,"Asian american faces increase in racism
Other miniority group also increased racism
We need to stand together to stop the hate",1,1,0,0,0,0,0,0,
R_QndnzWEJ9UVtnMt,,,,,,,,,,,
R_0dh6FmOtwxm1C4V,,,,,,,,,,,
R_3rH7z9nWjUD7eIB,,Sad and unfair!,0,0,0,0,0,1,1,0,
R_3ekQ7DnTF9uAqxm,,"it is all about race
1/4  people suffered race ",0,0,0,0,0,0,1,0,
R_3Hvicr4bIl30SW9,,,,,,,,,,,
R_umo0MnivJH26gJb,They called an Asian the reason for the Covid 19. Very racist people in jersey: haters snitches ,,1,0,0,0,0,0,0,0,
