ResponseId,treat1react,treat2react,Mention_Anti_Asian,Mention_Racism_Against_POC,Not_Surprised,Anger,Worry/Fear/Anxiety,Sadness,Inattentive,Unsure, Notes
R_qOsBxnsCTO9TUyd,I feel hatred. I feel like doing something. I feel lik it will mot change.,,0,0,0,1,1,0,0,0,
R_C3RB5lVaK8GJn5T,,,,,,,,,,,
R_1eR8ionA3cAJncS,,,,,,,,,,,
R_6xODZCa32o3UFuF,Asian Americans are receiving hate and racism.  Increased amount of abuse due to Covid as people believe Asians bring it to the country.  This is not acceptable and is awful Americans are doing this.,,1,0,0,1,0,0,0,0,
R_1ILwSHfJg3sLsNm,,People are spreading fear and hatred towards Asian to blame ,1,0,0,0,0,0,0,0,
R_1QhXGTGgHe3vA1W,,It is disgusting ,0,0,0,1,0,0,0,0,
R_2xz0a1Yr5hXXeEy,,,,,,,,,,,
R_3NPryANw4jK96xP,,,,,,,,,,,
R_9vng8C5ZLN0Uvvz,,"It's very sad, frightening and concerned after reading the article about the Anti-Asian hate crimes that Lily Wong experienced at grocery store in New Jersey. It's very angry to read that Uber and Lyft drivers refused to pick-up Asian passengers. The Racial Discrimination against Asian, Black, Latino and Indigenous are very sickening. This is not American.",1,1,0,1,1,1,0,0,
R_ptSXUhisXOM7GHD,,,,,,,,,,,
R_W8NBJeaMGc65BUB,,,,,,,,,,,
R_x4uE5jer1JdVSDf,,It's very helpful.,0,0,0,0,0,0,0,0,
R_33l60bsZuH6esst,It’s very learning experience ,,0,0,0,0,0,0,0,0,
R_Tt6mgOOFF324801,,,,,,,,,,,
R_3kjlUg1FBxqqaf6,,,,,,,,,,,
R_1GNR8QgnRoVOg6u,,"Truly sad that Asians are being the scapegoats for the devastation that covid brought. I think some people are just full of hatred that they see Asians as an excuse to behave improperly. Especially the black attacks on Asians, it became really prevalent. It’s their envy coming into the surface.",1,0,0,0,0,1,0,0,
R_1gA3ydgq0VHe66f,,I am not shocked. This is happening everywhere and I am at this point used to it. I am tired of the world .,0,0,1,0,0,1,0,0,
R_vrjbPfxSnFV2HMl,,,,,,,,,,,
R_21BUD6PYY4kiH7c,,,,,,,,,,,
R_3htFravPC1yfDBl,,,,,,,,,,,
R_4MJXn9bz4BZ1re9,,,,,,,,,,,
R_1EZsjxkBKvi6oGn,,"Informative ,responsive, collective news",0,0,0,0,0,0,0,0,
R_1LYA490LrJCOLeY,,,,,,,,,,,
R_22sM5sLc0CcKeKq,,,,,,,,,,,
R_1nYLRFVX05eU2Vn,"It shouldn't take an influx of hate crimes, profiling whatever to unite and band people together and not just based on ypur color or ethnic background.  It bothers me that people who promote the ""let's unite and stand together"" media crap are doing  just that.  Profiling based on cultural differences dismissing others to some degree for the very same reasons.",,0,0,0,0,0,0,0,0,
R_2EymnqT3QTYZfo6,,,,,,,,,,,
R_3ef7PO20jPp4mg6,It makes me feel scared. I’m concerned about the future. I am confused about why this is happening. ,,0,0,0,0,1,0,0,0,
R_3mldCcnTuGuXaBn,This is very disturbing. Sometimes it feels like society is unfair. Injustice still exists.,,0,0,0,0,1,0,0,0,
R_1FqUqw9cfkX7m32,,,,,,,,,,,
R_UzoM3UDCQIjdwMp,,Stop Asian Hate.,1,0,0,0,0,0,0,0,
R_1gNnClQKy9ZEVjb,,,,,,,,,,,
R_28zTRFW4hy7djMG,,,,,,,,,,,
R_3noctkZd1yKIemv,,,,,,,,,,,
R_3JEM6CeKnpMrG9t,,"I am an Asian. It is not comfortable to read.
",0,0,0,0,1,0,0,0,
R_12MC23ipZjGK49e,,My reaction is shock and surprise. Nobody really knows the origins of Covid but anger has reached a boiling point against Asians. I think this stems from frustrations about a lot of unrelated things.,1,0,0,0,0,0,0,0,
R_2rNtuTDZYFoMXmb,It is absurd in a sense that the hate is brought mainly by being racially profiled and also with limited knowledge about this race. Most people think that Asians are Chinese which is not the case where Asia is a continent meaning it consists of different countries not just China. I think that most people think of this group low class just because most of the time we don't speak whats in our mind but we contribute big time to the economy of this country.,,1,0,0,1,0,0,0,0,
R_9L8z0DcZXKDYeOt,,,,,,,,,,,
R_25SYl0pLbc17eQX,They protest and avoiding about their discrimination ,,0,0,0,0,0,0,0,0,
R_1M4zLauDHRAZBbq,,As an Asian American it makes me nervous and worried to go outside. They talked about Asian hate because of Covid. I feel unsafe as an Asian American woman. ,1,0,0,0,1,0,0,0,
R_12LQGV1wCNmIQ9Y,,,,,,,,,,,
R_2EzyzlKl7cRyQZ4,,"Shock, annoyed and worried ",0,0,0,0,1,0,0,0,
R_3PTcYVyeSQjwWiT,,,,,,,,,,,
R_CZwTBRkLSlAcYKJ,,,,,,,,,,,
R_2QMwgrk8XD90dHO,,I think we can talk about our misunderstanding ,0,0,0,0,0,0,0,0,
R_28MQMdl3P5941kO,,Its true. A lot of people now are anti asian american / racists and judgemental without proper evidences or reasons. We should respect each other regardless of where we came from or what country we came from.,1,0,0,0,0,0,0,0,
R_1rjeg252uDM57x8,I don't have much of a reaction. Briefly scanned the article. I was distracted with something else,,0,0,0,0,0,0,1,0,
R_3MmbOtSclQqP7p3,I know exactly what's going on. I feel sad because I am Asian too. I feel helpless.,,0,0,1,0,0,1,0,0,
R_SZFcvEZOzdnrz57,Nothing at all ,,0,0,0,0,0,0,0,0,
R_1PRXsI7iLSDNSQG,,,,,,,,,,,
R_tPzfKbiaXiPhkVX,,,,,,,,,,,
